fit_area,week,resp,pred_area,model,loocv_R2,loocv_rmse
TII,23,moist_mean,KIL,gam,NA,NA
TII,23,moist_mean,VAR,gam,0.23088865550164317,31.7790906318612
TII,23,moist_mean,PIS,gam,0.007329152456551704,45.35730522695584
TII,23,moist_mean,HYY,gam,0.14698809341806737,26.144979822420876
TII,23,moist_mean,KAR,gam,0.12423267677560071,28.467004782077556
TII,23,moist_mean,TII,gam,0.37062418218585463,12.636130547834442
TII,24,moist_mean,KIL,lm,0.1769721652859802,25.563387160203252
TII,24,moist_mean,VAR,lm,0.13874883268037724,28.208250301854395
TII,24,moist_mean,PIS,lm,0.3633328612485836,27.595125034496004
TII,24,moist_mean,HYY,lm,0.21164823223319262,22.06639270192937
TII,24,moist_mean,KAR,lm,0.20976809446331493,21.84215376169139
TII,24,moist_mean,TII,lm,0.21911152083060145,14.308583149604145
TII,24,moist_mean,KIL,gam,4.3821446473915404e-4,48.68287997841766
TII,24,moist_mean,VAR,gam,0.2417174295374515,32.79936580123985
TII,24,moist_mean,PIS,gam,0.022828996542939985,41.49113429220585
TII,24,moist_mean,HYY,gam,0.1547311986969458,25.924300856614984
TII,24,moist_mean,KAR,gam,0.13000728717816715,28.685177758721306
TII,24,moist_mean,TII,gam,0.36301839867658364,12.585174397511524
TII,25,moist_mean,KIL,lm,0.13745007005211046,29.919108494171496
TII,25,moist_mean,VAR,lm,0.15719952859864977,31.416448698643183
TII,25,moist_mean,PIS,lm,0.38107329819939306,31.982046873399664
TII,25,moist_mean,HYY,lm,0.26037275938234705,19.19677602654136
TII,25,moist_mean,KAR,lm,0.2615628495222927,21.468642729649353
TII,25,moist_mean,TII,lm,0.20887785965303995,14.030097080670243
TII,25,moist_mean,KIL,gam,0.014580662687031069,46.257036943706
TII,25,moist_mean,VAR,gam,0.22734462757163024,36.2295021582019
TII,25,moist_mean,PIS,gam,0.11772761049409097,39.137681023881846
TII,25,moist_mean,HYY,gam,0.19269519205936672,23.29909865442973
TII,25,moist_mean,KAR,gam,0.2263870541910088,26.647225110754466
TII,25,moist_mean,TII,gam,0.3039560867466611,13.047929482786786
TII,26,moist_mean,KIL,lm,0.1440597097585619,31.17001044035452
TII,26,moist_mean,VAR,lm,0.20360761080115788,27.309298731411705
TII,26,moist_mean,PIS,lm,0.4004989181757924,33.21810416701061
TII,26,moist_mean,HYY,lm,0.2747037283535855,18.968208532242663
TII,26,moist_mean,KAR,lm,0.30297543573236996,19.7677174461854
TII,26,moist_mean,TII,lm,0.20199150724716977,12.656503477793434
TII,26,moist_mean,KIL,gam,0.08168673681180173,38.67637737784105
TII,26,moist_mean,VAR,gam,0.3055510131933688,28.994704568767048
TII,26,moist_mean,PIS,gam,0.376509201933564,34.90865256823843
TII,26,moist_mean,HYY,gam,0.22392974773763338,21.793324359913836
TII,26,moist_mean,KAR,gam,0.3733761875148381,23.54191415289903
TII,26,moist_mean,TII,gam,0.30888457482596593,11.464821233477878
